date,city,state,category_de,description_de,source,year
2016-12-31,Kernen im Remstal,Baden-Württemberg,Sonstige Angriffe,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Sachbeschädigung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-31,Hartmannsdorf,Sachsen,Tätlicher Übergriff/Körperverletzung,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen gefährlicher Körperverletzung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Wie viele Verletzte es gab, ist den Angaben nicht zu entnehmen.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-31,Mildstedt,Schleswig-Holstein,Sonstige Angriffe,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Volksverhetzung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-31,Kiel,Schleswig-Holstein,Sonstige Angriffe,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Nötigung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-31,Altdorf bei Nürnberg,Bayern,Sonstige Angriffe,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Verwendens von Kennzeichen verfassungswidriger Organisationen ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-30,Bochum,Nordrhein-Westfalen,Brandanschlag,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Brandstiftung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-30,Lübeck,Schleswig-Holstein,Sonstige Angriffe,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Störung des öffentlichen Friedens durch Androhung von Straftaten ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-30,Norderstedt,Schleswig-Holstein,Sonstige Angriffe,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Sachbeschädigung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-30,Oschersleben,Sachsen-Anhalt,Tätlicher Übergriff/Körperverletzung,"Aus der Antwort der Bundesregierung auf eine Kleine Anfrage zu Übergriffen auf Asylsuchende und ihre Unterkünfte geht hervor, dass die zuständige Polizeidirektion wegen Körperverletzung ermittelt und diesen Vorfall als “politisch motivierte Kriminalität – rechts” einordnet. Wie viele Verletzte es gab, ist den Angaben nicht zu entnehmen.",http://dip21.bundestag.de/dip21/btd/18/112/1811298.pdf,2016
2016-12-30,Freiburg,Baden-Württemberg,Sonstige Angriffe,"Unbekannte haben mit einer Schreckschuss-Pistole auf eine Asylunterkunft geschossen. Dabei wurde eine 37-jährige Bewohnerin verletzt. Sie hatte die Knallgeräusche bemerkt und schaute draußen nach. Sie erlitt eine leichte Brandwunde. Der Sicherheitsdienst beobachtete drei Menschen, die vom Tatort flüchteten. Die Polizei fand Hülsen, die zu einer Schreckschuss-Pistole gehören.",http://www.swp.de/ulm/nachrichten/suedwestumschau/boeller-auf-asylbewerber-unterkunft-geschossen-14243505.html,2016
